#Angular Position. Run #5
#Time ( s )	Angular Position ( rad )
12.7250	1.024
12.7500	0.985
12.7750	0.938
12.8000	0.884
12.8250	0.822
12.8500	0.754
12.8750	0.680
12.9000	0.602
12.9250	0.518
12.9500	0.432
12.9750	0.341
13.0000	0.248
13.0250	0.154
13.0500	0.058
13.0750	-0.038
13.1000	-0.132
13.1250	-0.225
13.1500	-0.316
13.1750	-0.404
13.2000	-0.487
13.2250	-0.567
13.2500	-0.641
13.2750	-0.710
13.3000	-0.773
13.3250	-0.828
13.3500	-0.875
13.3750	-0.916
13.4000	-0.949
13.4250	-0.972
13.4500	-0.988
13.4750	-0.994
13.5000	-0.994
13.5250	-0.983
13.5500	-0.964
13.5750	-0.938
13.6000	-0.903
13.6250	-0.861
13.6500	-0.811
13.6750	-0.752
13.7000	-0.690
13.7250	-0.619
13.7500	-0.545
13.7750	-0.465
13.8000	-0.382
13.8250	-0.295
13.8500	-0.206
13.8750	-0.115
13.9000	-0.024
13.9250	0.069
13.9500	0.160
13.9750	0.250
14.0000	0.338
14.0250	0.423
14.0500	0.503
14.0750	0.580
14.1000	0.652
14.1250	0.718
14.1500	0.779
14.1750	0.833
14.2000	0.880
14.2250	0.919
14.2500	0.952
14.2750	0.975
14.3000	0.991
14.3250	0.999
14.3500	0.999
14.3750	0.990
14.4000	0.974
14.4250	0.949
14.4500	0.916
14.4750	0.877
14.5000	0.829
14.5250	0.778
14.5500	0.718
14.5750	0.653
14.6000	0.584
14.6250	0.511
14.6500	0.434
14.6750	0.352
14.7000	0.269
14.7250	0.184
14.7500	0.097
14.7750	0.011
14.8000	-0.075
14.8250	-0.160
14.8500	-0.243
14.8750	-0.324
14.9000	-0.402
14.9250	-0.476
14.9500	-0.545
14.9750	-0.609
15.0000	-0.669
15.0250	-0.723
15.0500	-0.768
15.0750	-0.809
15.1000	-0.842
15.1250	-0.867
15.1500	-0.884
15.1750	-0.894
15.2000	-0.897
15.2250	-0.892
15.2500	-0.880
15.2750	-0.858
15.3000	-0.829
15.3250	-0.793
15.3500	-0.752
15.3750	-0.704
15.4000	-0.649
15.4250	-0.589
15.4500	-0.523
15.4750	-0.452
15.5000	-0.380
15.5250	-0.303
15.5500	-0.223
15.5750	-0.143
15.6000	-0.060
15.6250	0.024
15.6500	0.105
15.6750	0.187
15.7000	0.267
15.7250	0.344
15.7500	0.419
15.7750	0.490
15.8000	0.558
15.8250	0.619
15.8500	0.677
15.8750	0.727
15.9000	0.773
15.9250	0.811
15.9500	0.844
15.9750	0.869
16.0000	0.886
16.0250	0.897
16.0500	0.898
16.0750	0.895
16.1000	0.884
16.1250	0.866
16.1500	0.839
16.1750	0.806
16.2000	0.768
16.2250	0.723
16.2500	0.672
16.2750	0.617
16.3000	0.558
16.3250	0.493
16.3500	0.426
16.3750	0.355
16.4000	0.283
16.4250	0.207
16.4500	0.130
16.4750	0.053
16.5000	-0.025
16.5250	-0.101
16.5500	-0.176
16.5750	-0.250
16.6000	-0.320
16.6250	-0.388
16.6500	-0.452
16.6750	-0.511
16.7000	-0.567
16.7250	-0.617
16.7500	-0.661
16.7750	-0.701
16.8000	-0.734
16.8250	-0.759
16.8500	-0.779
16.8750	-0.792
16.9000	-0.796
16.9250	-0.796
16.9500	-0.787
16.9750	-0.773
17.0000	-0.751
17.0250	-0.723
17.0500	-0.688
17.0750	-0.647
17.1000	-0.602
17.1250	-0.550
17.1500	-0.495
17.1750	-0.434
17.2000	-0.371
17.2250	-0.305
17.2500	-0.234
17.2750	-0.163
17.3000	-0.091
