#Angular Position. Run #2
#Time ( s )	Angular Position ( rad )
12.6500	0.024
12.6750	0.024
12.7000	0.024
12.7250	0.024
12.7500	0.024
12.7750	0.024
12.8000	0.024
12.8250	0.024
12.8500	0.024
12.8750	0.024
12.9000	0.024
12.9250	0.024
12.9500	0.024
12.9750	0.024
13.0000	0.024
13.0250	0.024
13.0500	0.024
13.0750	0.024
13.1000	0.024
13.1250	0.024
13.1500	0.024
13.1750	0.024
13.2000	0.024
13.2250	0.024
